订单日期,地区,产品类别,产品名称,销售额,成本,订单数量,客户评分,销售渠道,备注
2026-01-02,华东,数码,无线耳机,1280,760,8,4.6,线上, 新客活动
2026/01/05,华南,办公,机械键盘,1680,980,6,4.8,线上,会员复购
2026-01-09,华北,数码,智能手表,2450,1580,5,4.4,线下,门店成交
2026-01-12,西南,家居,台灯,860,420,10,4.2,线上,
2026-01-16,华东,办公,显示器支架,1320,700,12,4.7,线上,企业客户
2026-01-20,华南,数码,无线耳机,960,570,6,4.3,直播,达人推荐
2026-01-24,华北,家居,收纳架,720,390,9,4.1,线下,门店成交
2026-01-28,西北,办公,机械键盘,1120,660,4,4.5,线上,新客活动
2026-02-03,华东,数码,智能手表,2940,1890,6,4.8,线上,会员复购
2026-02-07,华南,家居,台灯,1032,504,12,4.3,直播,达人推荐
2026-02-11,华北,办公,显示器支架,1540,820,14,4.6,线上,企业客户
2026-02-15,西南,数码,无线耳机,1440,850,9,4.7,线下,门店成交
2026-02-19,华东,家居,收纳架,960,520,12,4.0,线上,
2026-02-23,华南,办公,机械键盘,1960,1150,7,4.9,线上,会员复购
2026-03-01,华北,数码,智能手表,3430,2190,7,4.5,直播,达人推荐
2026-03-05,西北,家居,台灯,774,378,9,,线上,新客活动
2026-03-09,华东,办公,显示器支架,1760,940,16,4.8,线下,企业客户
2026-03-13,华南,数码,无线耳机,1760,1040,11,4.6,线上,会员复购
2026-03-17,华北,家居,收纳架,1080,585,13,4.2,线上,
2026-03-21,西南,办公,机械键盘,2240,1320,8,4.7,直播,达人推荐
2026-03-25,华东,数码,智能手表,3920,2520,8,4.9,线上,高价值订单
2026-03-29,华南,家居,台灯,1204,588,14,4.4,线下,门店成交
2026-04-02,华北,办公,显示器支架,1870,1000,17,4.6,线上,企业客户
2026-04-06,西北,数码,无线耳机,1920,1140,12,4.5,线上,新客活动
2026-04-10,华东,家居,收纳架,1320,715,16,4.3,直播,
2026-04-14,华南,办公,机械键盘,2520,1480,9,4.8,线上,会员复购
2026-04-18,华北,数码,智能手表,49000,2750,9,4.7,线下,疑似异常金额
2026-04-22,西南,家居,台灯,1376,672,16,4.5,线上,新客活动
2026-04-26,华东,办公,显示器支架,2090,1120,19,4.9,线上,企业客户
2026-04-26,华东,办公,显示器支架,2090,1120,19,4.9,线上,企业客户

